time [ms],B1 [uT]
-0.221221221221221+0i,-0.123358121317196+0.031325151983905i
-0.219219219219219+0i,-0.134722633743507-0.024519688894573i
-0.217217217217217+0i,-0.120338888195981-0.083881936061635i
-0.215215215215215+0i,-0.079582123393931-0.134789641303796i
-0.213213213213213+0i,-0.01738488328679-0.165545082289302i
-0.211211211211211+0i,0.056192047989586-0.167277064144427i
-0.209209209209209+0i,0.127539437457941-0.136140718660013i
-0.207207207207207+0i,0.18199257574995-0.074659148917835i
-0.205205205205205+0i,0.206784991060876+0.008154726684691i
-0.203203203203203+0i,0.193876922094821+0.098026320829372i
-0.201201201201201+0i,0.142053924909652+0.177852361837184i
-0.199199199199199+0i,0.057798473110483+0.230929682139473i
-0.197197197197197+0i,-0.0453436039176+0.2443744800256i
-0.195195195195195+0i,-0.1488882941745+0.212043223519382i
-0.193193193193193+0i,-0.232708335390122+0.136319968555308i
-0.191191191191191+0i,-0.278913892136281+0.028322843052465i
-0.189189189189189+0i,-0.275575669182342-0.093625800509906i
-0.187187187187187+0i,-0.219529463667512-0.207079160251191i
-0.185185185185185+0i,-0.117636956735961-0.289584054741576i
-0.183183183183183+0i,0.013851933328691-0.323084137194441i
-0.181181181181181+0i,0.151831697858357-0.297750917939556i
-0.179179179179179+0i,0.270387072800673-0.214447056865787i
-0.177177177177177+0i,0.345646542445601-0.08525083128146i
-0.175175175175175+0i,0.36053671511522+0.068178431160627i
-0.173173173173173+0i,0.308498571137264+0.218200209285751i
-0.171171171171171+0i,0.195378629251271+0.336166276334549i
-0.169169169169169+0i,0.039023578246283+0.397874065945946i
-0.167167167167167+0i,-0.133468391896425+0.388464454373409i
-0.165165165165165+0i,-0.290430915807946+0.305783003924019i
-0.163163163163163+0i,-0.401440836847852+0.16147314123862i
-0.161161161161161+0i,-0.443191414490841-0.020525694356092i
-0.159159159159159+0i,-0.40429707504518-0.207914292098208i
-0.157157157157157+0i,-0.288052369957006-0.365764572015914i
-0.155155155155155+0i,-0.112517557683985-0.463028693685813i
-0.153153153153153+0i,0.0922097241181-0.478613368881774i
-0.151151151151151+0i,0.289141651163878-0.405835907428288i
-0.149149149149149+0i,0.441088967343422-0.254337891818176i
-0.147147147147147+0i,0.51768062992186-0.048980807395526i
-0.145145145145145+0i,0.501389630329954+0.174193607933235i
-0.143143143143143+0i,0.391376230104405+0.374290508227186i
-0.141141141141141+0i,0.204329285715562+0.513065795974133i
-0.139139139139139+0i,-0.027972966984056+0.562227882963833i
-0.137137137137137+0i,-0.264046844525547+0.509144231305428i
-0.135135135135135+0i,-0.460123021512607+0.359810929300395i
